iter	Passed	Remaining
0	1	163
1	3	158
2	4	150
3	8	202
4	9	188
5	11	176
6	12	168
7	14	161
8	15	158
9	16	152
10	18	152
11	21	158
12	23	155
13	24	152
14	26	149
15	27	145
16	29	142
17	30	139
18	32	136
19	33	134
20	37	142
21	39	139
22	41	138
23	42	135
24	43	131
25	45	128
26	46	126
27	48	123
28	50	122
29	52	123
30	54	121
31	57	122
32	59	120
33	62	120
34	64	118
35	65	117
36	67	115
37	69	112
38	70	110
39	73	110
40	75	108
41	75	104
42	77	102
43	78	99
44	81	99
45	82	97
46	84	95
47	85	92
48	86	90
49	88	88
50	89	86
51	91	84
52	92	82
53	95	81
54	96	79
55	98	77
56	99	74
57	100	73
58	102	71
59	103	68
60	104	66
61	106	64
62	108	63
63	110	61
64	111	60
65	113	58
66	115	56
67	116	54
68	117	52
69	118	50
70	120	49
71	121	47
72	123	45
73	125	44
74	127	42
75	129	40
76	130	38
77	131	37
78	134	35
79	136	34
80	137	32
81	139	30
82	141	28
83	142	27
84	143	25
85	145	23
86	146	21
87	149	20
88	150	18
89	151	16
90	152	15
91	155	13
92	157	11
93	158	10
94	160	8
95	161	6
96	163	5
97	165	3
98	167	1
99	169	0
