iter	Passed	Remaining
0	128	128318
1	133	66550
2	135	44867
3	138	34455
4	139	27858
5	144	23894
6	146	20717
7	147	18345
8	149	16462
9	151	14964
10	152	13728
11	154	12701
12	157	11969
13	159	11251
14	161	10613
15	163	10036
16	165	9546
17	167	9133
18	168	8720
19	171	8383
20	173	8092
21	176	7855
22	178	7584
23	180	7320
24	181	7076
25	183	6855
26	186	6722
27	190	6629
28	193	6464
29	194	6295
30	196	6134
31	197	5983
32	199	5835
33	204	5808
34	208	5754
35	211	5664
36	213	5550
37	217	5499
38	219	5412
39	222	5336
40	227	5321
41	229	5234
42	233	5205
43	235	5124
44	238	5064
45	241	5003
46	242	4923
47	244	4853
48	248	4823
49	250	4761
50	252	4704
51	256	4668
52	257	4609
53	259	4545
54	263	4528
55	267	4503
56	270	4467
57	271	4410
58	273	4356
59	274	4302
60	278	4282
61	281	4253
62	283	4223
63	286	4186
64	287	4138
65	289	4091
66	290	4048
67	293	4026
68	297	4013
69	298	3971
70	300	3929
71	301	3889
72	303	3855
73	308	3866
74	311	3838
75	312	3803
76	314	3771
77	315	3734
78	317	3699
79	318	3664
80	321	3651
81	324	3629
82	324	3590
83	326	3561
84	328	3531
85	329	3501
86	331	3479
87	332	3449
88	334	3424
89	338	3420
90	340	3403
91	342	3377
92	343	3354
93	345	3329
94	346	3304
95	348	3285
96	352	3283
97	356	3278
98	357	3256
99	359	3233
100	360	3210
101	362	3188
102	364	3171
103	367	3166
104	370	3157
105	372	3138
106	374	3121
107	375	3101
108	378	3096
109	388	3141
110	389	3122
111	391	3102
112	392	3081
113	393	3060
114	395	3045
115	398	3037
116	400	3020
117	401	3004
118	403	2987
119	404	2969
120	406	2951
121	407	2932
122	409	2917
123	413	2918
124	415	2907
125	417	2892
126	418	2875
127	419	2859
128	421	2843
129	422	2826
130	423	2810
131	426	2805
132	429	2796
133	430	2781
134	431	2766
135	432	2750
136	434	2735
137	435	2720
138	436	2705
139	438	2690
140	439	2676
141	440	2664
142	442	2653
143	444	2642
144	470	2777
145	481	2818
146	483	2806
147	486	2803
148	491	2805
149	494	2800
150	496	2789
151	500	2791
152	502	2781
153	507	2789
154	509	2778
155	511	2769
156	513	2757
157	515	2746
158	517	2735
159	520	2735
160	522	2720
161	523	2709
162	525	2698
163	530	2705
164	533	2699
165	535	2689
166	536	2678
167	538	2668
168	540	2659
169	542	2648
170	547	2655
171	549	2646
172	551	2637
173	553	2627
174	555	2617
175	557	2612
176	602	2799
177	605	2794
178	607	2785
179	614	2797
180	615	2786
181	617	2775
182	619	2766
183	622	2762
184	625	2754
185	627	2746
186	638	2774
187	641	2771
188	643	2760
189	645	2750
190	658	2791
191	660	2781
192	663	2774
193	690	2869
194	693	2861
195	695	2852
196	698	2846
197	700	2836
198	701	2825
199	704	2816
200	705	2805
201	707	2794
202	709	2786
203	730	2849
204	733	2846
205	736	2837
206	737	2826
207	739	2816
208	741	2806
209	744	2800
210	746	2790
211	748	2782
212	750	2773
213	752	2762
214	760	2778
215	763	2772
216	765	2761
217	766	2750
218	767	2738
219	770	2731
220	772	2723
221	774	2712
222	775	2702
223	777	2692
224	778	2682
225	780	2672
226	781	2661
227	783	2651
228	786	2646
229	787	2636
230	789	2627
231	790	2616
232	791	2605
233	792	2595
234	794	2584
235	795	2574
236	796	2564
237	797	2554
238	802	2553
239	803	2544
240	804	2534
241	806	2524
242	807	2514
243	808	2504
244	809	2494
245	810	2485
246	812	2476
247	813	2466
248	816	2461
249	817	2452
250	818	2443
251	820	2434
252	821	2425
253	822	2415
254	823	2406
255	824	2397
256	826	2389
257	827	2380
258	830	2375
259	831	2367
260	833	2359
261	834	2350
262	835	2341
263	836	2333
264	838	2324
265	839	2315
266	840	2307
267	841	2298
268	842	2290
269	845	2286
270	847	2278
271	848	2270
272	849	2261
273	850	2253
274	851	2245
275	853	2237
276	854	2230
277	855	2222
278	857	2214
279	858	2207
280	861	2203
281	862	2196
282	864	2189
283	865	2181
284	866	2174
285	868	2166
286	869	2159
287	870	2152
288	871	2144
289	873	2137
290	876	2134
291	877	2127
292	878	2120
293	879	2112
294	881	2105
295	882	2098
296	883	2091
297	884	2084
298	886	2077
299	887	2070
300	891	2069
301	892	2063
302	894	2056
303	895	2050
304	896	2043
305	897	2036
306	899	2029
307	900	2022
308	901	2016
309	903	2010
310	904	2004
311	905	1997
312	907	1990
313	908	1984
314	909	1977
315	910	1971
316	912	1965
317	913	1958
318	914	1952
319	917	1950
320	919	1944
321	920	1939
322	922	1933
323	923	1927
324	925	1921
325	926	1915
326	927	1909
327	929	1904
328	932	1902
329	934	1896
330	935	1891
331	937	1885
332	938	1879
333	939	1873
334	940	1867
335	942	1862
336	943	1856
337	944	1850
338	947	1847
339	949	1843
340	952	1840
341	953	1835
342	955	1830
343	956	1824
344	960	1822
345	965	1824
346	968	1822
347	970	1817
348	971	1812
349	972	1806
350	975	1804
351	982	1808
352	985	1806
353	987	1801
354	988	1796
355	990	1791
356	991	1785
357	999	1791
358	1000	1787
359	1002	1782
360	1004	1778
361	1006	1773
362	1009	1770
363	1012	1769
364	1015	1767
365	1018	1764
366	1019	1759
367	1021	1754
368	1029	1761
369	1031	1756
370	1034	1753
371	1035	1748
372	1037	1743
373	1041	1743
374	1044	1740
375	1045	1735
376	1047	1731
377	1049	1726
378	1053	1726
379	1057	1724
380	1059	1720
381	1061	1716
382	1062	1711
383	1064	1707
384	1067	1705
385	1069	1701
386	1071	1697
387	1073	1692
388	1074	1688
389	1076	1683
390	1077	1678
391	1079	1674
392	1084	1674
393	1086	1671
394	1088	1667
395	1090	1662
396	1091	1657
397	1093	1654
398	1102	1661
399	1105	1657
400	1106	1653
401	1108	1649
402	1112	1648
403	1114	1644
404	1115	1639
405	1122	1642
406	1124	1638
407	1126	1633
408	1127	1629
409	1129	1624
410	1130	1619
411	1131	1615
412	1133	1610
413	1134	1605
414	1135	1600
415	1136	1596
416	1138	1591
417	1139	1586
418	1140	1582
419	1142	1577
420	1143	1572
421	1144	1568
422	1146	1563
423	1147	1558
424	1148	1554
425	1149	1549
426	1151	1545
427	1152	1540
428	1153	1535
429	1155	1531
430	1158	1529
431	1160	1525
432	1162	1522
433	1163	1517
434	1165	1513
435	1166	1509
436	1168	1505
437	1174	1507
438	1177	1504
439	1178	1500
440	1180	1496
441	1181	1491
442	1182	1487
443	1184	1483
444	1186	1479
445	1188	1475
446	1190	1472
447	1191	1468
448	1193	1464
449	1194	1459
450	1195	1455
451	1196	1450
452	1198	1446
453	1199	1442
454	1200	1438
455	1203	1435
456	1204	1431
457	1205	1427
458	1207	1422
459	1208	1418
460	1209	1414
461	1210	1410
462	1212	1405
463	1213	1401
464	1215	1398
465	1217	1394
466	1218	1390
467	1220	1387
468	1221	1382
469	1222	1378
470	1224	1374
471	1225	1370
472	1226	1366
473	1227	1362
474	1229	1358
475	1230	1354
476	1232	1351
477	1234	1347
478	1235	1343
479	1236	1339
480	1238	1335
481	1239	1331
482	1240	1327
483	1241	1324
484	1244	1321
485	1246	1318
486	1248	1315
487	1249	1311
488	1251	1307
489	1253	1304
490	1255	1301
491	1256	1297
492	1257	1293
493	1259	1289
494	1261	1286
495	1262	1283
496	1264	1279
497	1265	1275
498	1266	1271
499	1267	1267
500	1269	1264
501	1270	1260
502	1271	1256
503	1272	1252
504	1274	1249
505	1276	1246
506	1278	1243
507	1279	1239
508	1280	1235
509	1282	1231
510	1283	1228
511	1284	1224
512	1285	1220
513	1287	1216
514	1291	1216
515	1294	1213
516	1295	1210
517	1297	1206
518	1298	1203
519	1299	1199
520	1300	1195
521	1301	1192
522	1303	1188
523	1304	1185
524	1306	1182
525	1308	1179
526	1309	1175
527	1310	1171
528	1312	1168
529	1313	1164
530	1314	1161
531	1315	1157
532	1317	1154
533	1318	1150
534	1320	1147
535	1322	1144
536	1324	1141
537	1325	1138
538	1326	1134
539	1327	1130
540	1328	1127
541	1330	1123
542	1331	1120
543	1332	1116
544	1334	1113
545	1336	1111
546	1337	1107
547	1339	1104
548	1340	1101
549	1341	1097
550	1342	1094
551	1343	1090
552	1344	1087
553	1346	1083
554	1347	1080
555	1348	1076
556	1350	1074
557	1352	1070
558	1353	1067
559	1354	1064
560	1355	1060
561	1356	1057
562	1357	1053
563	1358	1050
564	1359	1047
565	1361	1043
566	1362	1040
567	1363	1037
568	1365	1034
569	1366	1031
570	1368	1028
571	1369	1024
572	1370	1021
573	1371	1018
574	1372	1014
575	1374	1011
576	1375	1008
577	1376	1005
578	1377	1001
579	1379	998
580	1381	996
581	1383	993
582	1384	990
583	1386	987
584	1387	984
585	1388	981
586	1390	978
587	1391	975
588	1393	972
589	1395	969
590	1397	967
591	1398	964
592	1400	960
593	1401	957
594	1402	954
595	1404	951
596	1405	948
597	1406	945
598	1408	943
599	1411	940
600	1412	937
601	1414	934
602	1415	931
603	1416	928
604	1417	925
605	1418	922
606	1420	919
607	1421	916
608	1423	913
609	1425	911
610	1427	908
611	1428	905
612	1429	902
613	1430	899
614	1431	896
615	1433	893
616	1434	890
617	1435	887
618	1436	884
619	1438	881
